semester,group,n,rmse,rmse_lo,rmse_hi,bias,bias_lo,bias_hi
S2,High-performing,50,0.20184882207601307,0.16514040324811902,0.23780173262757995,-0.1406572499905062,-0.1822469785014313,-0.10184785537775802
S2,Average,19,0.3830298109898176,0.29408521933807447,0.4689886199266828,-0.33677675390765666,-0.4223244602975866,-0.25563894580856544
S2,Underperforming,24,0.5934179193097333,0.40907721854104373,0.7681923321653357,-0.46615147274421354,-0.6262835721119923,-0.32637363582287715
S3,High-performing,50,0.13445892591798356,0.10745784595810387,0.15912953794553017,-0.0736944036138507,-0.10413000306313064,-0.04177532049506584
S3,Average,19,0.22083963930531506,0.14508786409936325,0.3001311163904216,-0.15862558759676273,-0.23256823897888704,-0.09377063146437291
S3,Underperforming,24,0.4105672197065227,0.24277918222925834,0.5704590550754091,-0.2782729965855697,-0.4086854038607206,-0.1658266632723167
S4,High-performing,50,0.09058871646681621,0.07418735392675173,0.10676493965575314,-0.014416960335900439,-0.0386821775193162,0.009713473074805204
S4,Average,19,0.14266363760001508,0.0869979783773844,0.20369980894421305,-0.0713831479397703,-0.12831195176488275,-0.017028219512031772
S4,Underperforming,24,0.2954417001777778,0.16632374953668505,0.4317844431352307,-0.18895401071200676,-0.2922204638330012,-0.10770868840426363
S5,High-performing,50,0.07906718750358889,0.06550106521688993,0.09229424308431403,-0.03739872135581363,-0.0569168444562409,-0.01765351398626594
S5,Average,19,0.1283547639301899,0.08492503215372964,0.17741393474660427,-0.08250546218213307,-0.12844844273993924,-0.0384614724456939
S5,Underperforming,24,0.26577358370658705,0.15730735113010794,0.375118524703654,-0.18310834025357445,-0.2663414368175902,-0.11555917751195031
S6,High-performing,50,0.07488249050765819,0.06047137840455346,0.08931578875922022,0.04993454985792958,0.03489024556789016,0.06525969385755416
S6,Average,19,0.09522218550458544,0.07498617891274421,0.11360923878270066,0.043243469400927874,0.002863543719001027,0.07975759375846782
S6,Underperforming,24,0.15999519687021166,0.083123920812418,0.24155464138457364,-0.022510462993851316,-0.09283378071739506,0.03320667628546452
