semester,group,family,mean_abs_shap,mean_shap
0,Underperforming,Pre-academic,0.23319189511932994,-0.17462668255858205
0,Underperforming,Demographic,0.15207434110861856,-0.08710436083884239
0,Average,Pre-academic,0.10613855554625676,-0.029949098787574832
0,Average,Demographic,0.11979720956983463,-0.05811788808856845
0,Performing,Pre-academic,0.18335469299260201,0.1046605286513013
0,Performing,Demographic,0.12819068833612576,0.06711609922347549
1,Underperforming,Pre-academic,0.0626631037016682,-0.04232334486843596
1,Underperforming,Semester GPA,0.39079397622190803,-0.3892523417209317
1,Underperforming,Demographic,0.07216976038243851,-0.005969450909326167
1,Average,Pre-academic,0.02866357924758191,-0.009457145035131228
1,Average,Semester GPA,0.17308602773146034,-0.07413374195625325
1,Average,Demographic,0.054298204577131054,-0.025333081232637143
1,Performing,Pre-academic,0.05030583330007487,0.02932460251679706
1,Performing,Semester GPA,0.27454703428406907,0.23772144504427137
1,Performing,Demographic,0.05755112480887259,0.017175444426961586
2,Underperforming,Pre-academic,0.07233081570151817,-0.05442862975466754
2,Underperforming,Semester GPA,0.46658607654002915,-0.46658607654002915
2,Underperforming,Module grade,0.031049128785370004,-0.0015975161767382996
2,Underperforming,Demographic,0.055966276014859324,0.009614003227905621
2,Average,Pre-academic,0.030711619222433026,-0.007319350975385854
2,Average,Semester GPA,0.1705467945607251,-0.07605297385421424
2,Average,Module grade,0.023490022734121558,0.0026583538176597472
2,Average,Demographic,0.04680230685223732,-0.006302563188350375
2,Performing,Pre-academic,0.05468305822475208,0.033107746028681745
2,Performing,Semester GPA,0.2985112542531896,0.28187203862762455
2,Performing,Module grade,0.03216481291718627,-0.0001014010781444193
2,Performing,Demographic,0.06083304286473184,0.0006472521478418799
3,Underperforming,Pre-academic,0.02670541727929059,-0.012705321565327499
3,Underperforming,Semester GPA,0.5547790206914144,-0.5432156521377491
3,Underperforming,Module grade,0.06185018931423023,0.03761849481001488
3,Underperforming,Demographic,0.036915673078924155,0.01373847197076956
3,Average,Pre-academic,0.01533278036869245,-0.0006886637083067342
3,Average,Semester GPA,0.16159036390985243,-0.09578160347921849
3,Average,Module grade,0.02977146067119475,0.010211962735562592
3,Average,Demographic,0.03976018808179047,-0.005560215689841444
3,Performing,Pre-academic,0.021215454490579516,0.008525527733647216
3,Performing,Semester GPA,0.3518604473237211,0.3348597425891475
3,Performing,Module grade,0.041964455466456135,-0.016520236652787443
3,Performing,Demographic,0.05203410200331376,-0.0004567957624011035
4,Underperforming,Pre-academic,0.019193597486144697,-0.008216192569662465
4,Underperforming,Semester GPA,0.5746983891109646,-0.5649160484152391
4,Underperforming,Module grade,0.03853366688020517,0.03371094180643967
4,Underperforming,Demographic,0.025033326503218815,0.0033019896130734873
4,Average,Pre-academic,0.013386370563924442,-3.0096834833503333e-06
4,Average,Semester GPA,0.13357233474692873,-0.09644301103058216
4,Average,Module grade,0.019991540926277737,0.012092678041522486
4,Average,Demographic,0.023648832397419998,-0.003018216774661085
4,Performing,Pre-academic,0.017811934346842705,0.007617325822446356
4,Performing,Semester GPA,0.3501699887130254,0.3416722321409585
4,Performing,Module grade,0.02431306821671063,-0.013891685758724777
4,Performing,Demographic,0.02953771226213223,-0.003394537591437569
5,Underperforming,Pre-academic,0.029236601467450073,-0.019210189924455896
5,Underperforming,Semester GPA,0.5709731228199063,-0.5709731228199063
5,Underperforming,Module grade,0.025694659460893082,0.02269367478645357
5,Underperforming,Demographic,0.02292365264499074,0.010155608085938767
5,Average,Pre-academic,0.012619094758000405,-0.003668880019675081
5,Average,Semester GPA,0.1269225910971166,-0.10046664513593526
5,Average,Module grade,0.01808794713979543,0.007423707366597526
5,Average,Demographic,0.02268401572283166,0.0037473898069655277
5,Performing,Pre-academic,0.021707864860234648,0.01244869735893261
5,Performing,Semester GPA,0.35310287584513655,0.34767583648975625
5,Performing,Module grade,0.01762294232900312,-0.004686910323544593
5,Performing,Demographic,0.029657225452490953,-0.009655562274770702
6,Underperforming,Pre-academic,0.024266258589152153,-0.016566944744937313
6,Underperforming,Semester GPA,0.5762159176438015,-0.5762159176438015
6,Underperforming,Module grade,0.012242555991472009,0.008127270751377522
6,Underperforming,Demographic,0.01428327405473072,0.005972657808441177
6,Average,Pre-academic,0.010991641809951307,-0.0022706321289711227
6,Average,Semester GPA,0.10044253426551827,-0.08493265918527614
6,Average,Module grade,0.012652174525879174,0.003836751893179219
6,Average,Demographic,0.011884729512541195,0.0008460600775213421
6,Performing,Pre-academic,0.017177799264589146,0.010182300858288685
6,Performing,Semester GPA,0.34191129977452683,0.34000087295541825
6,Performing,Module grade,0.01102413594892211,0.003384599839652877
6,Performing,Demographic,0.01833074695876834,-0.004575837052963113
