semester,family,mean_abs_shap,mean_shap
0,Pre-academic,0.1775480115668203,-0.00062436228387556
0,Demographic,0.13235864562756172,-0.003387870365702545
1,Pre-academic,0.048259604566832516,0.0012826775198838435
1,Semester GPA,0.2801093848342295,-0.0009823246292986246
1,Demographic,0.06056006077734235,0.0008334569194362897
2,Pre-academic,0.0532313469919328,0.0005323910649718593
2,Semester GPA,0.3167689764012358,0.0002558196978121761
2,Module grade,0.03153965936873999,0.0006692464154056245
2,Demographic,0.05562291410310789,0.0011724971294401901
3,Pre-academic,0.016649683572172294,0.0007345825424350974
3,Semester GPA,0.3565405096904989,0.0018746063295582039
3,Module grade,0.04856935842776407,-0.00027962087244671015
3,Demographic,0.04145314427474628,0.001251632028721908
4,Pre-academic,0.015869588510106496,0.001523396904939237
4,Semester GPA,0.3572327351445166,-0.0004019217536341485
4,Module grade,0.03137566341417246,0.004135348733462186
4,Demographic,0.026257627248113855,-0.0016087078858885739
5,Pre-academic,0.020973704927958154,0.0004125687214284639
5,Semester GPA,0.3640660541942883,0.0005087733308003589
5,Module grade,0.03045579334958686,0.004898589073041738
5,Demographic,0.02481667808185482,-0.0011587224151461874
6,Pre-academic,0.018893436519585645,0.00053221572221361
6,Semester GPA,0.354776537263393,-0.0006189149331411252
6,Module grade,0.02302003170957436,0.0048644817920540425
6,Demographic,0.014815216548397342,-0.0002506244951561943
