feature,available_from_semester,band,train_students,train_underperformers,train_underperformance_rate,lift_vs_base_rate,test_students,test_underperformance_rate
Zscore,0,"Q1 (lowest, <= 1.5216)",45,19,0.4222222222222222,1.6246376811594203,29,0.41379310344827586
Zscore,0,Q2 (1.5216-1.5727),44,11,0.25,0.9619565217391305,14,0.21428571428571427
Zscore,0,Q3 (1.5727-1.6163),44,9,0.20454545454545456,0.7870553359683795,18,0.2222222222222222
Zscore,0,"Q4 (highest, > 1.6163)",44,7,0.1590909090909091,0.6121541501976284,32,0.15625
English,0,"Q1 (lowest, <= 41)",46,24,0.5217391304347826,2.007561436672968,32,0.625
English,0,Q2 (41-54),41,8,0.1951219512195122,0.750795334040297,17,0.058823529411764705
English,0,Q3 (54-67),43,8,0.18604651162790697,0.7158746208291203,16,0.125
English,0,"Q4 (highest, > 67)",41,3,0.07317073170731707,0.2815482502651113,27,0.037037037037037035
English,0,Missing,6,3,0.5,1.923913043478261,1,0.0
S1,1,Below 2.70,34,30,0.8823529411764706,3.395140664961637,11,1.0
S1,1,2.70-2.99,35,13,0.37142857142857144,1.429192546583851,14,0.5714285714285714
S1,1,3.00-3.29,35,3,0.08571428571428572,0.3298136645962733,18,0.16666666666666666
S1,1,3.30 or above,73,0,0.0,0.0,50,0.04
S2,2,Below 2.70,43,37,0.8604651162790697,3.3109201213346813,2,1.0
S2,2,2.70-2.99,25,5,0.2,0.7695652173913045,5,1.0
S2,2,3.00-3.29,35,2,0.05714285714285714,0.21987577639751552,10,0.5
S2,2,3.30 or above,74,2,0.02702702702702703,0.10399529964747357,76,0.15789473684210525
S3,3,Below 2.70,42,37,0.8809523809523809,3.389751552795031,26,0.8461538461538461
S3,3,2.70-2.99,28,8,0.2857142857142857,1.0993788819875776,12,0.16666666666666666
S3,3,3.00-3.29,29,0,0.0,0.0,18,0.0
S3,3,3.30 or above,78,1,0.01282051282051282,0.04933110367892977,37,0.0
S4,4,Below 2.70,23,22,0.9565217391304348,3.680529300567108,9,1.0
S4,4,2.70-2.99,24,16,0.6666666666666666,2.5652173913043477,15,0.6
S4,4,3.00-3.29,33,7,0.21212121212121213,0.816205533596838,19,0.15789473684210525
S4,4,3.30 or above,97,1,0.010309278350515464,0.039668310174809505,50,0.06
S5,5,Below 2.70,40,30,0.75,2.8858695652173916,15,0.8666666666666667
S5,5,2.70-2.99,25,12,0.48,1.8469565217391304,17,0.47058823529411764
S5,5,3.00-3.29,39,3,0.07692307692307693,0.2959866220735786,17,0.17647058823529413
S5,5,3.30 or above,73,1,0.0136986301369863,0.05270994639666468,44,0.0
Maths 2,2,D or F,8,6,0.75,2.8858695652173916,0,
Maths 2,2,C- to C+,77,36,0.4675324675324675,1.7989836250705815,1,1.0
Maths 2,2,B- to B+,51,2,0.0392156862745098,0.15089514066496165,18,0.5555555555555556
Maths 2,2,A- to A+,41,2,0.04878048780487805,0.18769883351007424,74,0.17567567567567569
MgtAccounting,2,D or F,1,1,1.0,3.847826086956522,0,
MgtAccounting,2,C- to C+,53,33,0.6226415094339622,2.395816242821985,5,0.8
MgtAccounting,2,B- to B+,68,12,0.17647058823529413,0.6790281329923274,29,0.3448275862068966
MgtAccounting,2,A- to A+,55,0,0.0,0.0,59,0.1694915254237288
StatsII,3,D or F,6,6,1.0,3.847826086956522,3,0.6666666666666666
StatsII,3,C- to C+,55,27,0.4909090909090909,1.8889328063241106,16,0.6875
StatsII,3,B- to B+,55,6,0.10909090909090909,0.4197628458498024,26,0.15384615384615385
StatsII,3,A- to A+,55,2,0.03636363636363636,0.1399209486166008,40,0.0
StatsII,3,Incomplete/missing,6,5,0.8333333333333334,3.206521739130435,8,0.875
MIS,3,D or F,1,0,0.0,0.0,0,
MIS,3,C- to C+,14,6,0.42857142857142855,1.6490683229813665,17,0.7058823529411765
MIS,3,B- to B+,52,21,0.40384615384615385,1.5539297658862876,37,0.32432432432432434
MIS,3,A- to A+,106,16,0.1509433962264151,0.5808039376538146,39,0.0
MIS,3,Incomplete/missing,4,3,0.75,2.8858695652173916,0,
DataV,4,C- to C+,1,1,1.0,3.847826086956522,6,0.6666666666666666
DataV,4,B- to B+,7,7,1.0,3.847826086956522,16,0.375
DataV,4,A- to A+,168,37,0.22023809523809523,0.8474378881987578,71,0.19718309859154928
DataV,4,Incomplete/missing,1,1,1.0,3.847826086956522,0,
